Feeding America San Diego Partner (for internal use for ancillary donor map),San Diego Food Bank Partner (for internal use for ancillary donor map),Food Program Name,2-1-1 web URL for  hyperlink on Agency Name,Street Address,City ,Zip Code,Distance,Day(s)/Time,Foods Typically Available,Documents Needed,Eligibility,"URL for details on Eligibility hyperlinked to ""Eligibility""",Contact for Additional Questions,2016 Holiday Closures,Other Services Offered at this Site
,SDFB,Teen Challenge,https://211sandiego.communityos.org/zf/profile/service/id/778217,5450 Lea Street,San Diego,92105,Calculated from mapping zip code,2nd Monday of each month from 9:00 am until the food is gone,20-30 lbs of fresh produce per household,none,No eligiblity requirements,,(866) 350-3663,none,medical outreach from La Maestra clinic
,SDFB,LGBT Community Center,TBD,3909 Centre Street,San Diego,92103,1st Tuesday of each month from 9:00 am until food is gone,9:00 AM,20-30 lbs of fresh produce per household,none,No eligiblity requirements,,(866) 350-3663,none,
FASD,SDFB,South Bay Pentecostal,TBD,395 D Street,Chula Vista,91910,1st Friday of each month from 9:00 am until food is gone,9:00 AM,20-30 lbs of fresh produce per household,none,No eligiblity requirements,,(866) 350-3663,rescheduled for January 5 due to New Year's holiday,Affordable Care application assistance
,SDFB,Teen Challenge,TBD,5450 Lea Street,San Diego,92105,2nd Monday of each month from 9:00 am until food is gone,9:00 AM,20-30 lbs of fresh produce per household,none,No eligiblity requirements,,(866) 350-3663,none,Lifeline Cellular; cooking demonstrations
FASD,SDFB,Hearts & Hands Working Together,TBD,2020 Alaquinas Drive,San Ysidro,92173,2nd Tuesday of each month from 9:00 am until food is gone,9:00 AM,20-30 lbs of fresh produce per household,none,No eligiblity requirements,,(866) 350-3663,none,
FASD,SDFB,Journey Community Church,TBD,"8363 Center Drive, Ste 6C",La Mesa,91942,2nd Friday of each month from 9:00 am until food is gone,9:00 AM,20-30 lbs of fresh produce per household,none,No eligiblity requirements,,(866) 350-3663,Rescheduled in November to the 10th due to Veteran's Day holiday,
,SDFB,St. Stephen's of COGIC,TBD,5825 Imperial Avenue,San Diego,92114,3rd Monday of each month from 9:00 am until food is gone,9:00 AM,20-30 lbs of fresh produce per household,none,No eligiblity requirements,,(866) 350-3663,Reschduled in January to the 11th due to MLK Jr Holiday; Rescheduled in February to the 8th due to President's Day holiday,
,SDFB,Vista Spanish SDA Church,TBD,254 West Indian Rock,Vista,92083,3rd Monday of each month from 2:00 pm until food is gone,2:00 PM,20-30 lbs of fresh produce per household,none,No eligiblity requirements,,(866) 350-3663,Reschduled in January to the 11th due to MLK Jr Holiday; Rescheduled in February to the 8th due to President's Day holiday,
FASD,SDFB,El Cajon 7th Day Adventist Church,TBD,1630 East Madison Avenue,El Cajon,92019,3rd Tuesday of each month from 4:00 pm until food is gone,4:00 PM,20-30 lbs of fresh produce per household,none,No eligiblity requirements,,(866) 350-3663,none,
,SDFB,Military Outreach Ministry,TBD,2624 Santa Margarita Road,Oceanside,92058,3rd Saturday of each month from 10:00 am until food is gone,10:00 AM,20-30 lbs of fresh produce per household,none,No eligiblity requirements,,(866) 350-3663,none,
,SDFB,Heaven's Windows,TBD,2300 Bancroft Drive,Spring Valley,91977,4th Tuesday of each month from 9:00 am until food is gone,9:00 AM,20-30 lbs of fresh produce per household,none,No eligiblity requirements,,(866) 350-3663,Rescheduled in November to the 18th due to agency event; Rescheduled in December to the 20th due to Christmas holiday,
,SDFB,Fallbrook Food Pantry,TBD,221 North Pico Avenue,Fallbrook,92028,Last Wednesday of each month from 10:00 am until food is gone,10:00 AM,20-30 lbs of fresh produce per household,none,No eligiblity requirements,,(866) 350-3663,none,
,SDFB,Bread of Life,TBD,1919 Apple Street,Oceanside,92054,Last Thursday of each month from 3:00 pm until food is gone,3:00 PM,20-30 lbs of fresh produce per household,none,No eligiblity requirements,,(866) 350-3663,Rescheduled in March to the 24th due to Cesar Chavez holiday; Rescheduled in November to the 17th due to Thanksgiving holiday,
,SDFB,Samoa Independent,TBD,2055 Skyline Drive,Lemon Grove,91945,Last Friday of each month from 9:00 am until food is gone,9:00 AM,20-30 lbs of fresh produce per household,none,No eligiblity requirements,,(866) 350-3663,"Rescheduled in November to the 18th due to Thanksgiving holiday, Rescheduled in December to the 29th due to Christmas holiday",
FASD,SDFB,Heaven's Windows,https://211sandiego.communityos.org/zf/profile/service/id/799059,2300 Bancroft Drive,Spring Valley,91977,Calculated from mapping zip code,Monday through Friday from 9:00 am - 12:00 pm,"EFAP Commodities - canned & packaged goods, occasional meat and fresh produce",none,EFAP Income Guidelines,http://www.cdss.ca.gov/cdssweb/entres/forms/English/EFA14.pdf,(619) 463-0725,"Closed: January 1, 2, 18; February 15; May 30; July 4; September 5; October 10; November 11, 24, 25; December 26",SDG&E Care Registration
